qidx,top_k,t_total_ms,t_encode_ms,t_search_ms,t_prompt_ms,t_llm_ms,num_docs
0,3,17049.02616700565,2648.435542010702,447.2697079909267,0.07941700459923595,13953.241499999422,3
1,3,3994.9366670043673,2033.4330830082763,157.99270899151452,0.06229100108612329,1803.4485840034904,3
2,3,1901.9099169963738,265.0557079905411,10.684834007406607,0.005416004569269717,1626.1639589938568,3
3,3,1334.247916995082,114.71208299917635,9.38658400264103,0.004124987754039466,1210.1451250055106,3
4,3,3113.5358330066083,79.39574999909382,9.763291003764607,0.005209003575146198,3024.3715830001747,3
5,3,6005.367916994146,388.87570799852256,10.618500004056841,0.011084004654549062,5605.862624986912,3
6,3,4885.836458008271,785.4863749962533,76.20275000226684,0.061875005485489964,4024.085458004265,3
7,3,6581.866957989405,166.4285829901928,16.077834006864578,0.02983299782499671,6399.3307079945225,3
8,3,2497.0647500013,528.8635829929262,9.214875011821277,0.006541988113895059,1958.9797500084387,3
9,3,2084.8176660074387,575.7012079993729,4.151957997237332,0.030459006666205823,1504.9340410041623,3
10,3,5329.215292003937,209.6557920012856,10.549250000622123,0.007124996045604348,5109.003125005984,3
11,3,4661.539541004458,599.5670830016024,12.874916996224783,0.008875009370967746,4049.0886659972603,3
12,3,5660.829000000376,1588.3505000092555,25.9521669941023,0.040875005652196705,4046.4854579913663,3
13,3,7343.370999995386,493.09379199985415,14.563749995431863,0.0043330073822289705,6835.709124992718,3
14,3,2661.027624999406,494.8697919899132,9.023666003486142,0.006874994141981006,2157.1272920118645,3
15,3,2639.0843340050196,83.77741700678598,3.0221249908208847,0.017750004190020263,2552.2670420032227,3
16,3,3318.206542011467,142.13937500608154,14.394249999895692,0.02154200046788901,3161.6513750050217,3
17,3,2941.698583003017,142.82775000901893,10.979040991514921,0.02129199856426567,2787.870500003919,3
18,3,3614.41387499508,249.9414999911096,16.04504100396298,0.016999998479150236,3348.410334001528,3
19,3,2278.049791988451,186.75670798984356,10.14562499767635,0.019167011487297714,2081.128291989444,3
20,3,4215.0330409931485,88.31412499421276,1.4178749988786876,0.014332996215671301,4125.286708003841,3
